FIPS,County,Year,Population,Primary Point
19169,Story County,July 01 2011,91136,POINT (-93.4650448 42.0362415)
19065,Fayette County,July 01 1995,22129,POINT (-91.8443207 42.8625919)
19089,Howard County,July 01 2002,9794,POINT (-92.3171989 43.3567673)
19007,Appanoose County,July 01 1999,13761,POINT (-92.8686104 40.7431635)
19043,Clayton County,July 01 2012,17946,POINT (-91.34143280000002 42.8447493)
19133,Monona County,July 01 1992,9978,POINT (-95.9599235 42.0516663)
19167,Sioux County,July 01 1995,31352,POINT (-96.1778827 43.0826174)
19103,Johnson County,July 01 2006,123171,POINT (-91.5880849 41.6715511)
19101,Jefferson County,July 01 2018,18256,POINT (-91.9488774 41.0317596)
19113,Linn County,July 01 2016,222188,POINT (-91.5989646 42.0789478)
19159,Ringgold County,July 01 1996,5382,POINT (-94.2439719 40.7352023)
19151,Pocahontas County,July 01 1991,9493,POINT (-94.67874660000001 42.73413510000001)
19153,Polk County,July 01 2014,460898,POINT (-93.5735335 41.6855048)
19081,Hancock County,July 01 1999,12085,POINT (-93.7342723 43.0818861)
19187,Webster County,July 01 2009,38346,POINT (-94.18178810000002 42.4279662)
19133,Monona County,July 01 2007,9123,POINT (-95.9599235 42.0516663)
19171,Tama County,July 01 2008,17549,POINT (-92.5325425 42.07981170000001)
19031,Cedar County,July 01 2011,18358,POINT (-91.1324125 41.7723207)
19141,O'Brien County,July 01 2001,14881,POINT (-95.6248784 43.0837527)
19063,Emmet County,July 01 1999,11247,POINT (-94.6784803 43.37802250000001)
19077,Guthrie County,July 01 2016,10642,POINT (-94.501055 41.6837548)
19103,Johnson County,July 01 1994,100939,POINT (-91.5880849 41.6715511)
19147,Palo Alto County,July 01 1999,10245,POINT (-94.6781371 43.0820643)
19037,Chickasaw County,July 01 1995,13287,POINT (-92.3176637 43.06004140000001)
19143,Osceola County,July 01 2017,6021,POINT (-95.6236852 43.3785704)
19137,Montgomery County,July 01 1999,11890,POINT (-95.1563758 41.03014)
19013,Black Hawk County,July 01 2008,128040,POINT (-92.3088197 42.4700957)
19037,Chickasaw County,July 01 2019,11933,POINT (-92.3176637 43.06004140000001)
19183,Washington County,July 01 1993,20072,POINT (-91.7178676 41.335591)
19119,Lyon County,April 01 2000,11763,POINT (-96.2102924 43.380497)
19117,Lucas County,July 01 1998,9395,POINT (-93.3277207 41.0293738)
19037,Chickasaw County,July 01 2013,12274,POINT (-92.3176637 43.06004140000001)
19059,Dickinson County,July 01 2013,16878,POINT (-95.1508301 43.3779848)
19077,Guthrie County,April 01 1990,10935,POINT (-94.501055 41.6837548)
19129,Mills County,July 01 2013,14905,POINT (-95.62132670000001 41.0334523)
19011,Benton County,July 01 1991,22425,POINT (-92.0656912 42.0801864)
19119,Lyon County,July 01 2013,11695,POINT (-96.2102924 43.380497)
19061,Dubuque County,July 01 2011,94593,POINT (-90.8824564 42.468832)
19105,Jones County,July 01 2011,20743,POINT (-91.1314352 42.1212397)
19145,Page County,July 01 2004,16001,POINT (-95.1501747 40.7391444)
19103,Johnson County,April 01 2010,130882,POINT (-91.5880849 41.6715511)
19163,Scott County,July 01 2003,158808,POINT (-90.6232428 41.6370978)
19013,Black Hawk County,July 01 2018,131723,POINT (-92.3088197 42.4700957)
19185,Wayne County,April 01 2010,6403,POINT (-93.3273639 40.73947020000001)
19177,Van Buren County,July 01 1997,7669,POINT (-91.9499871 40.7532294)
19031,Cedar County,April 01 2010,18499,POINT (-91.1324125 41.7723207)
19171,Tama County,July 01 2012,17501,POINT (-92.5325425 42.07981170000001)
19047,Crawford County,July 01 2009,16416,POINT (-95.3819678 42.0372125)
19155,Pottawattamie County,July 01 2009,90224,POINT (-95.5423935 41.3366123)
19111,Lee County,July 01 1995,38965,POINT (-91.479264 40.6419764)
19035,Cherokee County,July 01 1997,13450,POINT (-95.6238055 42.7356226)
19173,Taylor County,July 01 1999,7029,POINT (-94.6964148 40.73743240000001)
19073,Greene County,July 01 2014,9124,POINT (-94.3968356 42.0362394)
19011,Benton County,July 01 2019,25645,POINT (-92.0656912 42.0801864)
19123,Mahaska County,July 01 2007,22092,POINT (-92.6409094 41.3352035)
19085,Harrison County,July 01 1996,15231,POINT (-95.8169209 41.6828528)
19091,Humboldt County,July 01 1999,10462,POINT (-94.2071868 42.7764686)
19101,Jefferson County,July 01 2019,18295,POINT (-91.9488774 41.0317596)
19033,Cerro Gordo County,July 01 2003,45142,POINT (-93.2608184 43.081557700000005)
19063,Emmet County,July 01 1998,11303,POINT (-94.6784803 43.37802250000001)
19103,Johnson County,July 01 2001,113878,POINT (-91.5880849 41.6715511)
19025,Calhoun County,July 01 1999,11296,POINT (-94.6404136 42.385184800000005)
19175,Union County,July 01 2014,12627,POINT (-94.2423792 41.0277304)
19189,Winnebago County,July 01 2009,10602,POINT (-93.7341955 43.37756780000001)
19089,Howard County,July 01 2003,9713,POINT (-92.3171989 43.3567673)
19185,Wayne County,April 01 1990,7067,POINT (-93.3273639 40.73947020000001)
19131,Mitchell County,July 01 2005,10784,POINT (-92.7890315 43.3564124)
19031,Cedar County,July 01 2018,18564,POINT (-91.1324125 41.7723207)
19043,Clayton County,July 01 2016,17661,POINT (-91.34143280000002 42.8447493)
19051,Davis County,July 01 2008,8573,POINT (-92.4097173 40.7476891)
19185,Wayne County,April 01 2000,6730,POINT (-93.3273639 40.73947020000001)
19049,Dallas County,July 01 2015,80631,POINT (-94.0397374 41.6848862)
19103,Johnson County,July 01 2014,142730,POINT (-91.5880849 41.6715511)
19011,Benton County,July 01 2015,25608,POINT (-92.0656912 42.0801864)
19109,Kossuth County,July 01 1993,18098,POINT (-94.2067199 43.20413)
19097,Jackson County,July 01 1992,19912,POINT (-90.5742294 42.1717426)
19005,Allamakee County,April 01 2010,14330,POINT (-91.3780923 43.2842838)
19047,Crawford County,July 01 1998,16864,POINT (-95.3819678 42.0372125)
19169,Story County,July 01 2015,96636,POINT (-93.4650448 42.0362415)
19023,Butler County,July 01 2004,14782,POINT (-92.7901934 42.7315661)
19139,Muscatine County,July 01 2015,43068,POINT (-91.1127562 41.4839221)
19095,Iowa County,July 01 1991,14618,POINT (-92.065524 41.6863229)
19001,Adair County,April 01 1990,8409,POINT (-94.4709413 41.3307464)
19117,Lucas County,July 01 2009,9179,POINT (-93.3277207 41.0293738)
19109,Kossuth County,July 01 2013,15332,POINT (-94.2067199 43.20413)
19077,Guthrie County,July 01 2007,11051,POINT (-94.501055 41.6837548)
19055,Delaware County,July 01 2005,17619,POINT (-91.3673502 42.471211)
19067,Floyd County,July 01 1996,17001,POINT (-92.78900330000002 43.0599208)
19181,Warren County,July 01 2008,44793,POINT (-93.5613594 41.3343735)
19129,Mills County,July 01 2005,14846,POINT (-95.62132670000001 41.0334523)
19195,Worth County,July 01 2006,7618,POINT (-93.2608476 43.3773984)
19195,Worth County,April 01 2000,7909,POINT (-93.2608476 43.3773984)
19009,Audubon County,July 01 1998,6916,POINT (-94.9058222 41.6845893)
19155,Pottawattamie County,July 01 1999,86609,POINT (-95.5423935 41.3366123)
19007,Appanoose County,July 01 2013,12654,POINT (-92.8686104 40.7431635)
19155,Pottawattamie County,July 01 2004,88781,POINT (-95.5423935 41.3366123)
19111,Lee County,April 01 2000,38052,POINT (-91.479264 40.6419764)
19169,Story County,July 01 1996,76265,POINT (-93.4650448 42.0362415)
19049,Dallas County,July 01 1991,29904,POINT (-94.0397374 41.6848862)
19035,Cherokee County,July 01 2002,12530,POINT (-95.6238055 42.7356226)
19145,Page County,July 01 2012,15702,POINT (-95.1501747 40.7391444)
19173,Taylor County,July 01 2013,6233,POINT (-94.6964148 40.73743240000001)
19185,Wayne County,July 01 2005,6422,POINT (-93.3273639 40.73947020000001)
19121,Madison County,April 01 1990,12483,POINT (-94.01556190000001 41.33071420000001)
19195,Worth County,April 01 2010,7598,POINT (-93.2608476 43.3773984)
19175,Union County,April 01 2000,12309,POINT (-94.2423792 41.0277304)
19041,Clay County,July 01 1998,17662,POINT (-95.1509194 43.0825804)
19097,Jackson County,July 01 2007,19906,POINT (-90.5742294 42.1717426)
19017,Bremer County,April 01 2000,23325,POINT (-92.31805480000001 42.7745873)
19121,Madison County,July 01 2001,14148,POINT (-94.01556190000001 41.33071420000001)
19053,Decatur County,July 01 1993,8219,POINT (-93.7862815 40.7376827)
19115,Louisa County,July 01 2008,11694,POINT (-91.2596184 41.2185073)
19065,Fayette County,July 01 2013,20519,POINT (-91.8443207 42.8625919)
19075,Grundy County,July 01 2015,12405,POINT (-92.7914177 42.4018651)
19059,Dickinson County,July 01 1992,15196,POINT (-95.1508301 43.3779848)
19077,Guthrie County,July 01 1992,11101,POINT (-94.501055 41.6837548)
19193,Woodbury County,July 01 1994,101640,POINT (-96.0447673 42.3897169)
19101,Jefferson County,July 01 1995,16563,POINT (-91.9488774 41.0317596)
19065,Fayette County,July 01 2012,20774,POINT (-91.8443207 42.8625919)
19077,Guthrie County,July 01 2011,10859,POINT (-94.501055 41.6837548)
19139,Muscatine County,July 01 2019,42664,POINT (-91.1127562 41.4839221)
19159,Ringgold County,July 01 2006,5101,POINT (-94.2439719 40.7352023)
19141,O'Brien County,July 01 1996,15647,POINT (-95.6248784 43.0837527)
19011,Benton County,July 01 2005,26643,POINT (-92.0656912 42.0801864)
19051,Davis County,July 01 2011,8771,POINT (-92.4097173 40.7476891)
19069,Franklin County,July 01 1993,11179,POINT (-93.262473 42.7325458)
19073,Greene County,April 01 2000,10366,POINT (-94.3968356 42.0362394)
19129,Mills County,April 01 2000,14547,POINT (-95.62132670000001 41.0334523)
19189,Winnebago County,July 01 1992,11940,POINT (-93.7341955 43.37756780000001)
19021,Buena Vista County,July 01 2007,19455,POINT (-95.15114900000002 42.7354936)
19027,Carroll County,July 01 2006,20766,POINT (-94.8605593 42.0362382)
19107,Keokuk County,July 01 2012,10427,POINT (-92.1786426 41.336465)
19097,Jackson County,July 01 2016,19393,POINT (-90.5742294 42.1717426)
19107,Keokuk County,July 01 1998,11444,POINT (-92.1786426 41.336465)
19073,Greene County,July 01 2018,8965,POINT (-94.3968356 42.0362394)
19153,Polk County,July 01 1992,333568,POINT (-93.5735335 41.6855048)
19141,O'Brien County,July 01 2016,13926,POINT (-95.6248784 43.0837527)
19041,Clay County,July 01 2015,16498,POINT (-95.1509194 43.0825804)
19011,Benton County,July 01 2014,25623,POINT (-92.0656912 42.0801864)
19039,Clarke County,July 01 2014,9196,POINT (-93.78515790000002 41.0290323)
19075,Grundy County,July 01 2019,12232,POINT (-92.7914177 42.4018651)
19165,Shelby County,April 01 2010,12167,POINT (-95.31021130000002 41.6850926)
19145,Page County,July 01 1993,16678,POINT (-95.1501747 40.7391444)
19009,Audubon County,July 01 2018,5471,POINT (-94.9058222 41.6845893)
19181,Warren County,July 01 1998,39510,POINT (-93.5613594 41.3343735)
19171,Tama County,July 01 2016,17192,POINT (-92.5325425 42.07981170000001)
19161,Sac County,July 01 2008,10199,POINT (-95.1053946 42.3862604)
19099,Jasper County,July 01 2004,37256,POINT (-93.053765 41.6860394)
19105,Jones County,July 01 2015,20433,POINT (-91.1314352 42.1212397)
19165,Shelby County,July 01 2019,11454,POINT (-95.31021130000002 41.6850926)
19033,Cerro Gordo County,July 01 2016,43096,POINT (-93.2608184 43.081557700000005)
19141,O'Brien County,July 01 1991,15451,POINT (-95.6248784 43.0837527)
19143,Osceola County,July 01 1992,7290,POINT (-95.6236852 43.3785704)
