Per Capita Income,Median Age,Total,Total Male,Male 5-9,Male 5-9,Male 10-14,Male 15-17,Male 18-19,Male 20,Male 21,Male 22-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-61,Male 62-64,Male 65-66,Male 67-69,Male 70-74,Male 75-79,Male 80-84,Male 85-over,Total Female,Female 5-9,Female 5-9,Female 10-14,Female 15-17,Female 18-19,Female 20,Female 21,Female 22-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-61,Female 62-64,Female 65-66,Female 67-69,Female 70-74,Female 75-79,Female 80-84,Female 85-over
33301,42.6,25636,12788,821,767,906,571,274,124,98,474,667,708,870,660,780,1001,962,384,603,414,335,452,432,234,251,12848,754,747,934,552,253,90,125,395,583,672,750,796,819,995,1019,447,404,260,343,667,410,431,402
32905,38.6,96982,47818,3158,2986,3190,1964,1701,602,1015,1767,3129,3201,2546,2740,2799,3180,3359,1337,1891,1117,1461,1716,1267,984,708,49164,2960,3208,2856,1881,1592,658,674,1916,3075,2826,2827,2462,2712,3213,3202,1666,1911,1211,1385,2092,1824,1303,1710
30013,47.6,6797,3318,177,196,211,142,10,70,49,112,169,163,138,197,167,223,248,192,151,85,147,152,145,74,100,3479,184,236,191,128,18,42,13,141,149,154,177,164,175,256,355,110,145,96,119,172,200,106,148
27252,45.4,7150,3665,227,291,211,181,68,51,29,88,156,169,182,222,231,248,245,123,188,107,121,200,111,139,77,3485,189,250,184,136,62,8,70,87,154,186,190,168,190,233,270,90,191,93,112,258,123,145,96
28440,47.3,3670,1830,121,102,105,69,26,17,12,69,96,107,66,116,106,111,128,75,111,68,72,89,106,23,35,1840,98,169,52,51,34,13,19,51,100,98,123,58,93,139,146,54,99,32,49,135,86,58,83
30344,48.1,5571,2770,185,119,220,95,53,9,14,114,128,144,166,99,145,191,244,95,155,72,136,111,132,64,79,2801,145,142,146,94,97,4,1,103,128,119,145,133,142,195,249,82,116,51,114,167,161,80,187
29387,36.8,8920,4403,385,358,320,191,145,45,52,153,251,221,305,171,261,252,274,186,128,86,132,181,138,84,84,4517,420,325,396,226,103,27,11,171,239,240,244,216,237,256,251,147,158,55,119,245,134,133,164
33789,43.7,6901,3442,195,183,331,137,45,28,27,153,153,188,187,194,192,188,271,177,112,105,99,172,118,104,83,3459,198,246,202,127,70,41,11,114,174,176,200,154,177,211,261,133,134,87,135,162,152,147,147
28999,43.0,7807,3886,221,307,226,175,96,41,11,167,212,203,176,271,255,253,300,106,173,108,162,137,89,119,78,3921,217,157,380,157,65,19,49,148,192,192,179,267,245,262,248,132,172,98,153,190,161,109,129
29360,33.4,34827,17485,1307,1355,1361,847,744,328,371,978,950,1037,1194,886,789,912,995,528,540,416,389,493,435,336,294,17342,1250,1145,1467,700,788,318,305,838,916,1012,1088,886,753,861,1143,338,596,313,397,617,577,479,555
28434,44.6,9744,5057,288,302,316,184,102,55,61,194,314,283,368,274,235,337,307,184,258,206,139,186,175,160,129,4687,279,242,293,159,71,22,28,151,243,234,251,206,240,286,323,179,253,155,172,234,202,188,276
32757,44.3,42834,20905,1143,1083,1493,805,595,218,225,757,1301,1336,1215,1087,1143,1323,1731,583,992,679,777,794,652,581,392,21929,1163,1101,1328,697,487,202,149,820,1245,1195,918,1261,1207,1551,1655,654,1128,728,733,1095,866,629,1117
28770,44.7,17061,8522,403,565,426,522,277,126,65,279,460,479,429,532,479,554,600,294,454,167,263,425,247,219,257,8539,438,482,431,315,179,76,29,293,445,469,490,389,522,598,649,237,441,203,331,395,362,355,410
31069,44.2,8583,4317,271,292,298,195,103,65,68,104,225,199,219,208,245,306,356,133,175,62,149,276,167,138,63,4266,236,199,320,177,77,0,37,185,203,186,236,245,228,284,349,180,143,113,193,171,241,73,190
28445,41.4,9003,4468,328,311,281,181,122,69,12,205,221,277,274,223,221,261,340,134,174,92,204,168,144,137,89,4535,278,283,326,142,87,69,27,137,257,209,280,198,235,268,294,123,218,129,117,233,184,147,294
26408,39.7,19941,10133,545,646,577,399,274,214,124,399,590,787,696,571,625,691,693,247,418,274,279,425,316,148,195,9808,564,566,690,373,252,170,123,368,556,570,568,466,590,622,629,258,404,312,380,382,358,217,390
28604,42.1,36971,18879,1146,1222,1103,718,407,167,189,748,1190,1326,1186,1204,1235,1309,1376,540,746,458,401,903,619,342,344,18092,1019,1018,1358,691,308,138,163,549,984,997,1046,967,1113,1233,1184,574,828,319,752,917,774,659,501
31827,40.5,18388,8839,440,485,530,331,507,136,302,399,399,460,479,469,493,548,610,262,350,264,330,335,248,279,183,9549,459,492,550,309,654,188,286,287,504,506,337,517,451,621,694,149,469,254,262,493,452,264,351
28294,47.3,17625,8946,470,669,462,351,188,104,56,260,448,451,519,388,515,655,780,295,411,211,491,417,350,246,209,8679,479,595,439,293,150,71,100,229,453,407,438,417,457,562,732,278,458,255,334,452,380,292,408
32814,39.8,24864,12313,787,723,844,551,526,138,338,437,632,642,680,806,707,730,824,304,422,259,507,514,432,264,246,12551,678,748,756,451,518,180,314,447,669,666,750,681,715,749,858,320,407,230,514,572,557,348,423
